2000000999,"Epnovate Technology Pvt.Ltd.",,"Special-Economic-Zone","24AAFCE7793J1Z6","Gujarat","INR","0",10,"igst","","",""
2000610000,"Whitepaper Solutions Private Limited",,"registered_business","29AABCW9735E1ZZ","Karnataka","INR","15",10,"gst","","",""
2147483647,"test",,"registered_business","36AAQCA2064B1ZX","Telangana","ALL","30",10,"igst","","",""
260822,"RAVI SEKAR CHANDRASEKARAN",,"unregistered_business","","","USD","15",0,"","","",""
30222,"GENIUS INFOTEK",,"registered_business","27AANPK0260H1ZS","Maharashtra","INR","0",0,"igst","","",""
31123,"ONCOST CASH AND CARRY",,"unregistered_business","","","KWD","15",0,"","","",""
5002,"HAPAG-LLOYD AG",,"unregistered_business","","","KWD","15",0,"","","","NY0000000012001"
5003,"Jassim Transport & Stevedoring Co.",,"unregistered_business","","","KWD","15",0,"","","",""
5004,"SAP INTERNATIONAL CORPORATION",,"unregistered_business","","","EUR","15",0,"","","",""
667566767,"Vijaymata Construction Limited",,"registered_business","27ACWPC9541L1ZW","Maharashtra","INR","15",0,"igst","","",""
82022,"One time vendors",,"Unregistered_business","0","","INR","15",0,"0","0","",""
9258,"snee",,"overseas","","srinagr","ADP","15",0,"igst","","","2.22824E+13"
100564,"SAP LABS",154,"registered_business","29AAFCS3649P1ZJ","Karnataka","EUR","15",0,"gst","","",""
